Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260501_112940
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 27500/100000 | Exploratory train avg (Last 100): -53.43 | Greedy eval avg: -13.00
Episode 27600/100000 | Exploratory train avg (Last 100): -39.61 | Greedy eval avg: -13.00
Episode 27700/100000 | Exploratory train avg (Last 100): -43.64 | Greedy eval avg: -13.00
Episode 27800/100000 | Exploratory train avg (Last 100): -42.11 | Greedy eval avg: -13.00
Episode 27900/100000 | Exploratory train avg (Last 100): -37.44 | Greedy eval avg: -13.00
Episode 28000/100000 | Exploratory train avg (Last 100): -57.49 | Greedy eval avg: -13.00
Episode 28100/100000 | Exploratory train avg (Last 100): -43.91 | Greedy eval avg: -13.00
Episode 28200/100000 | Exploratory train avg (Last 100): -48.60 | Greedy eval avg: -13.00
Episode 28300/100000 | Exploratory train avg (Last 100): -51.84 | Greedy eval avg: -13.00
Episode 28400/100000 | Exploratory train avg (Last 100): -40.94 | Greedy eval avg: -13.00
Episode 28500/100000 | Exploratory train avg (Last 100): -33.41 | Greedy eval avg: -13.00
Episode 28600/100000 | Exploratory train avg (Last 100): -39.81 | Greedy eval avg: -13.00
Episode 28700/100000 | Exploratory train avg (Last 100): -45.35 | Greedy eval avg: -13.00
Episode 28800/100000 | Exploratory train avg (Last 100): -41.93 | Greedy eval avg: -13.00
Episode 28900/100000 | Exploratory train avg (Last 100): -36.66 | Greedy eval avg: -13.00
Episode 29000/100000 | Exploratory train avg (Last 100): -52.12 | Greedy eval avg: -13.00
Episode 29100/100000 | Exploratory train avg (Last 100): -49.59 | Greedy eval avg: -13.00
Episode 29200/100000 | Exploratory train avg (Last 100): -41.63 | Greedy eval avg: -13.00
Episode 29300/100000 | Exploratory train avg (Last 100): -38.53 | Greedy eval avg: -13.00
Episode 29400/100000 | Exploratory train avg (Last 100): -44.36 | Greedy eval avg: -13.00
Episode 29500/100000 | Exploratory train avg (Last 100): -44.05 | Greedy eval avg: -13.00
Episode 29600/100000 | Exploratory train avg (Last 100): -44.24 | Greedy eval avg: -13.00
Episode 29700/100000 | Exploratory train avg (Last 100): -41.92 | Greedy eval avg: -13.00
Episode 29800/100000 | Exploratory train avg (Last 100): -24.69 | Greedy eval avg: -13.00
Episode 29900/100000 | Exploratory train avg (Last 100): -52.94 | Greedy eval avg: -13.00
Episode 30000/100000 | Exploratory train avg (Last 100): -35.18 | Greedy eval avg: -13.00
Episode 30100/100000 | Exploratory train avg (Last 100): -44.09 | Greedy eval avg: -13.00
Episode 30200/100000 | Exploratory train avg (Last 100): -42.37 | Greedy eval avg: -13.00
Episode 30300/100000 | Exploratory train avg (Last 100): -41.15 | Greedy eval avg: -13.00
Episode 30400/100000 | Exploratory train avg (Last 100): -37.48 | Greedy eval avg: -13.00
